question,answer
What controls a trait and where are they derived from?,"A trait is controlled by a pair of factors, now called genes, one of which is derived from the male parent and the other from the female parent."
What is a dominant trait?,A dominant trait is a trait that appears in 75% of the F2 progeny.
What is a recessive trait?,A recessive trait is a trait that appears in 25% of the F2 progeny.
What does a ~3:1 ratio in F2 refer to?,This refers to the ratio of dominant to recessive traits in the second filial generation.
What does a 50:50 chance of allele segregation via gametes mean?,This means that there is an equal probability of an allele being passed on to the next generation through sexual reproduction.
What is the Principle of Independent Segregation?,"The Principle of Independent Segregation is a principle in genetics stating that during gamete formation, the segregation of alleles for one gene does not influence the segregation of alleles for another gene."
What is a Punnett square?,"A Punnett square is a diagram that is used to predict the genotypes of a particular cross or breeding experiment. It is named after Reginald C. Punnett, who devised the approach."
What is a phenotype?,The appearance of an individual.
"What does the term ""genotype"" refer to?",The genetic composition of an individual.
What does it mean if an individual is homozygous?,It refers to an individual having an identical allele pair (RR or rr).
What is the Principle of Independent Segregation?,A principle in genetics stating that individual hereditary factors segregate independently in the formation of gametes.
What is the difference between in trans and in cis in genetics?,"In cis means the genetic loci or mutations are on the same chromosome, while in trans means they are on different chromosomes."
What are phenotypes?,Phenotypes are the set of observable characteristics or traits of an organism.
Can individuals with identical phenotypes have different genotypes?,"Yes, individuals with identical phenotypes may have different genotypes."
How can the genotype of an organism be determined?,The genotype of an organism can be determined by performing genetic crosses for several generations.
What is the Principle of Independent Segregation?,The Principle of Independent Segregation is a principle of genetics stating that during the production of gametes the two copies of each hereditary factor segregate so that offspring acquire one factor from each parent.
What is a testcross?,A testcross is a cross between an organism with an unknown genotype and an organism with a recessive phenotype.
What are dominant genes?,"Dominant genes are a type of gene that, when present, overshadow the effect of their counterpart, or recessive gene."
What does the term 'segregate' mean in genetics?,"In genetics, segregation refers to the separation of paired genes during the formation of sex cells, or gametes."
What are gametes?,Gametes are sex cells that unite during sexual reproduction to form a new cell called a zygote.
What is Mendel's First Law?,"Mendel's First Law, also known as the Principle of Independent Segregation, states that during the formation of gametes, the pairs of genes on each chromosome segregate independently of the pairs on other chromosomes."
What are recessive genes?,Recessive genes are genes that get overshadowed by dominant genes. Their traits are only visible when the dominant gene is not present.
What is the definition of a heterozygous organism?,A heterozygous organism is one that has two different alleles of a gene.
How can heterozygotes be distinguished from homozygotes?,Heterozygotes can be distinguished from homozygotes because their phenotype can sometimes be intermediate between the two homozygous phenotypes.
What is the ratio of red to pink to white in a typical genetic scenario?,The ratio of red to pink to white is 1:2:1.
Are all alleles either dominant or recessive?,"No, some alleles are neither dominant nor recessive."
What is a phenotype?,A phenotype is the set of observable characteristics of an individual resulting from the interaction of its genotype with the environment.
What are the four different phenotypes in the F2 progeny from the breeding experiments with peas?,"The phenotypes are round yellow, round green, wrinkled yellow, and wrinkled green."
What is the ratio of these phenotypes in the F2 progeny?,The ratio of these phenotypes is 9:3:3:1.
What principle does this experiment demonstrate?,"This experiment demonstrates the Principle of Independent Assortment, also known as Mendel's second law."
What is a gamete?,A gamete is a mature haploid male or female germ cell that is able to unite with another of the opposite sex in sexual reproduction to form a zygote.
What is the Principle of Independent Assortment?,"The Principle of Independent Assortment is Mendel's second law, which states that allele pairs separate independently during the formation of gametes. This means that traits are transmitted to offspring independently of one another."
What is the Principle of Independent Assortment?,"This is Mendel's second law, which states that each gene pair is independently assorted to the gametes."
What is a Gene Pair?,Two genes that occupy the same position on homologous chromosomes and affect the same trait.
What are Gametes?,The reproductive cells (sperm in males and eggs in females) that carry genes from one generation to the next.
What is Mendel's Second Law?,"Also known as the Principle of Independent Assortment, it states that the way in which an allele for one gene is inherited does not affect the way an allele for another gene is inherited."
What is Mendel's second law also known as?,Mendel's second law is also known as the Principle of Independent Assortment.
What is the Principle of Independent Assortment?,The Principle of Independent Assortment is Mendel's second law stating that genes for different traits assort independently of one another in the formation of gametes.
What is the behavior of genes for seed color and shape according to Mendel's second law?,"According to Mendel's second law, the genes for seed color and shape, which are located on different chromosomes, behave independently."
What is the behavior of two genes located on the same chromosome?,"Two genes located on the same chromosome, referred to as linked genes, do not assort independently of each other."
What is the definition of meiosis?,"Meiosis is a type of cell division that results in four daughter cells each with half the number of chromosomes of the parent cell, as in the production of gametes and plant spores."
Who is Thomas Hunt Morgan and what is his contribution to genetics?,"Thomas Hunt Morgan is a geneticist who used the fruit fly, Drosophila melanogaster, to study genetics. He won the Nobel Prize in 1933."
What are chromosomes?,Chromosomes are discrete physical entities that carry the genes.
What are autosomes and how do they occur in an individual?,Autosomes are chromosomes that are not sex chromosomes. They occur in pairs (diploid) in a given individual.
How are sex chromosomes identified and what is the difference between males and females?,Sex chromosomes are identified as X and Y. Females have two X chromosomes (XX) and males have one X and one Y chromosome (XY).
What is the Chromosomal Theory of Heredity?,The Chromosomal Theory of Heredity is a theory that proposes that inheritance of traits is determined by genes located on chromosomes.
What are genes?,Genes are the basic physical and functional units of heredity. They are made up of DNA and act as instructions to make molecules called proteins.
What are chromosomes?,Chromosomes are thread-like structures located inside the nucleus of animal and plant cells. Each chromosome is made of protein and a single molecule of DNA.
What is genetic linkage?,Genetic linkage is the tendency of DNA sequences that are close together on a chromosome to be inherited together during the meiosis phase of sexual reproduction.
What are linked genes?,"Linked genes are genes that are located on the same chromosome and tend to be inherited together, because they are physically close to each other."
What is independent assortment?,"Independent assortment is a basic principle of genetics developed by Gregor Mendel that states that the alleles for different traits segregate, or separate, independently of one another during the formation of gametes."
What does the text discuss about in terms of Drosophila?,"The text discusses the inheritance of a X chromosome-linked gene in Drosophila, a type of fruit fly."
What does W represent in the context of the text?,"W represents the wild-type allele of white (w), which is an eye-color gene."
What does w stand for in the context of the text?,w stands for a mutant allele of the w gene.
What does it mean when genes are linked to chromosomes?,It means that genes are located on specific chromosomes and are passed on through inheritance.
What does hemizygous refer to?,"Hemizygous refers to a gene present on the X chromosome in a male organism, where there is no corresponding gene on the Y chromosome. This means the gene is expressed regardless of whether it is dominant or recessive."
What is genetic linkage?,Genetic linkage is a phenomenon where genes that are located close together on the same chromosome tend to be inherited together.
Is genetic linkage absolute?,"No, genetic linkage is not absolute. This means that genes on the same chromosome do not always get inherited together."
What are homologous chromosomes?,"Homologous chromosomes are pairs of chromosomes in a biological cell that carry the same genes in the same order, but may carry different versions of these genes (alleles)."
What is meiosis?,Meiosis is a type of cell division that reduces the number of chromosomes in a parent cell by half to produce four sex cells or gametes.
What is recombination and when does it occur?,"Recombination is the process by which genes are exchanged between homologous chromosomes during meiosis, leading to offspring with different combinations of genes from their parents."
What is crossing over?,"Crossing over is a specific type of recombination that occurs during meiosis, where sections of DNA are exchanged between homologous chromosomes. This results in new combinations of genes, contributing to genetic variation in offspring."
What is the term for the biological children or progeny produced by parents?,Offspring.
What are alleles?,Alleles are different forms of a gene that are found at the same place on a chromosome.
What is recombination?,Recombination is a process that occurs during sexual reproduction where the DNA of two parents combine to create offspring with a unique set of genetic material.
What is crossing over?,"Crossing over is a process that occurs during the formation of egg and sperm cells, where corresponding segments of DNA are exchanged between a pair of chromosomes, leading to a mix of parental characteristics in offspring."
How can offspring show new combinations of alleles that are not seen in the parents?,"These new combinations of alleles occur when recombination happens, which is contributed to by the mechanism of crossing over."
What did Morgan reason about genes that are closely linked on a chromosome?,Morgan reasoned that genes closely linked on a chromosome would assort with each other more regularly than genes located far apart on a chromosome.
What is the purpose of Morgan's reasoning about gene linkage?,"This reasoning is used to locate the relative positions of genes on chromosomes, which helps in producing a genetic map."
What is a genetic map?,A genetic map is a type of chromosome map that shows the relative locations of genes on a chromosome.
What is the basis of a genetic map?,"The genetic map is based on the recombination frequencies, which refers to the frequency at which a single chromosomal crossover will take place between the genes during meiosis."
What is chromosome mapping?,Chromosome mapping is the process of creating a genetic map.
What is the result of a cross between AB and ab?,The cross between AB and ab results in 30% recombinant genotypes (Ab and aB).
What does a higher frequency of recombination indicate in chromosome mapping?,"In chromosome mapping, a higher frequency of recombination indicates that the genes are likely to be further apart."
What is the gene arrangement that best fits the given data?,The gene arrangement that best fits the data is a-c-b.
How can the arrangement of three genes on the same chromosome be determined?,"The arrangement of three genes on the same chromosome can be determined by means of three crosses, in each of which two genes are followed (two-factor crosses)."
What is chromosome mapping?,Chromosome Mapping is a technique used to determine the sequence of genes on a chromosome and their relative distances from one another. This is done by observing the frequency of recombination of genes during crossbreeding experiments.
What is a Fly Genetic Map?,"A Fly Genetic Map is a representation of the arrangement of genes on the chromosomes of the fruit fly, Drosophila."
Which university's website is the Fly Genetic Map associated with?,The Fly Genetic Map is associated with the website of Memorial University of Newfoundland's Biology department.
Who is Alfred H. Sturtevant and what is he known for?,"Alfred H. Sturtevant (1891-1970) was a renowned geneticist known for creating the first genetic map of a chromosome, specifically for the fruit fly."
What organism did Alfred H. Sturtevant create the first genetic map for?,"Alfred H. Sturtevant created the first genetic map for the fruit fly, Drosophila."
What is the significance of the Fly Genetic Map?,"The Fly Genetic Map is significant as it provides a visual representation of the arrangement of genes on the chromosomes of the fruit fly, aiding in genetic research and understanding."
